race_id,nirenpuku_result,payout_nirenpuku_100
8720260127020001,1-7,1480
8720260127020002,1-4,340
8720260127020003,2-7,260
8720260127020004,1-2,410
8720260127020005,2-3,2500
8720260127020006,1-4,170
8720260127020007,2-4,1340
8720260127020008,2-4,2930
8720260127020009,2-7,140
8720260127020010,2-5,300
8720260127020011,1-2,240
8720260127020012,4-7,3870
2720260129020001,1-4,370
2720260129020002,1-6,310
2720260129020003,1-4,720
2720260129020004,1-3,1640
3620260130010001,1-5,100
3620260130010002,2-5,290
3620260130010003,4-7,3970
3620260130010004,2-3,18170
3620260130010005,2-5,150
3620260130010006,1-7,100
3620260130010007,2-4,2730
4820260128030001,4-6,2480
4820260128030002,1-3,230
4820260128030003,1-3,720
4820260128030004,1-7,140
4820260128030005,1-6,1020
4820260128030006,5-6,1000
4820260128030007,1-4,210
4820260128030008,2-3,1190
4820260128030009,3-5,8990
4820260128030010,1-5,840
4820260128030011,1-6,2830
5320260129020001,2-4,650
5320260129020002,1-4,3280
5320260129020003,3-4,310
5320260129020004,2-6,160
7320260129020001,3-7,630
7320260129020002,5-8,2160
7320260129020003,1-7,520
7320260129020004,2-5,550
7320260129020005,1-9,120
7320260129020006,2-7,250
7320260129020007,3-7,160
7320260129020008,1-3,200
7320260129020009,1-5,200
7320260129020010,2-3,610
