EV_MIN,odds_min,odds_max,ratio_min,rank_gap_min,bets,hits,hit_rate,stake,payout,ROI,mean_EV,mean_p,mean_odds
5,80,200,1.0,5,48,1,0.020833333333333332,4800,14550,3.03125,6.674977425847605,0.054691427127244126,146.75833333333333
5,80,200,1.5,5,48,1,0.020833333333333332,4800,14550,3.03125,6.674977425847605,0.054691427127244126,146.75833333333333
5,80,200,2.0,5,48,1,0.020833333333333332,4800,14550,3.03125,6.674977425847605,0.054691427127244126,146.75833333333333
5,80,200,3.0,5,48,1,0.020833333333333332,4800,14550,3.03125,6.674977425847605,0.054691427127244126,146.75833333333333
5,80,200,5.0,5,48,1,0.020833333333333332,4800,14550,3.03125,6.674977425847605,0.054691427127244126,146.75833333333333
5,80,300,1.0,8,48,1,0.020833333333333332,4800,14550,3.03125,7.572781135623058,0.05496360187177862,166.85833333333332
5,80,300,1.5,8,48,1,0.020833333333333332,4800,14550,3.03125,7.572781135623058,0.05496360187177862,166.85833333333332
5,80,300,2.0,8,48,1,0.020833333333333332,4800,14550,3.03125,7.572781135623058,0.05496360187177862,166.85833333333332
5,80,300,3.0,8,48,1,0.020833333333333332,4800,14550,3.03125,7.572781135623058,0.05496360187177862,166.85833333333332
5,80,300,5.0,8,48,1,0.020833333333333332,4800,14550,3.03125,7.572781135623058,0.05496360187177862,166.85833333333332
5,0,200,1.0,5,49,1,0.02040816326530612,4900,14550,2.9693877551020407,6.647260288763788,0.05526264538673207,145.32244897959185
5,0,200,1.5,5,49,1,0.02040816326530612,4900,14550,2.9693877551020407,6.647260288763788,0.05526264538673207,145.32244897959185
5,0,200,2.0,5,49,1,0.02040816326530612,4900,14550,2.9693877551020407,6.647260288763788,0.05526264538673207,145.32244897959185
5,0,200,3.0,5,49,1,0.02040816326530612,4900,14550,2.9693877551020407,6.647260288763788,0.05526264538673207,145.32244897959185
5,0,200,5.0,5,49,1,0.02040816326530612,4900,14550,2.9693877551020407,6.647260288763788,0.05526264538673207,145.32244897959185
5,0,300,1.0,8,49,1,0.02040816326530612,4900,14550,2.9693877551020407,7.5267414738499445,0.05552926554464342,165.01224489795916
5,0,300,1.5,8,49,1,0.02040816326530612,4900,14550,2.9693877551020407,7.5267414738499445,0.05552926554464342,165.01224489795916
5,0,300,2.0,8,49,1,0.02040816326530612,4900,14550,2.9693877551020407,7.5267414738499445,0.05552926554464342,165.01224489795916
5,0,300,3.0,8,49,1,0.02040816326530612,4900,14550,2.9693877551020407,7.5267414738499445,0.05552926554464342,165.01224489795916
5,0,300,5.0,8,49,1,0.02040816326530612,4900,14550,2.9693877551020407,7.5267414738499445,0.05552926554464342,165.01224489795916
5,20,200,1.0,5,49,1,0.02040816326530612,4900,14550,2.9693877551020407,6.647260288763788,0.05526264538673207,145.32244897959185
5,20,200,1.5,5,49,1,0.02040816326530612,4900,14550,2.9693877551020407,6.647260288763788,0.05526264538673207,145.32244897959185
5,20,200,2.0,5,49,1,0.02040816326530612,4900,14550,2.9693877551020407,6.647260288763788,0.05526264538673207,145.32244897959185
5,20,200,3.0,5,49,1,0.02040816326530612,4900,14550,2.9693877551020407,6.647260288763788,0.05526264538673207,145.32244897959185
5,20,200,5.0,5,49,1,0.02040816326530612,4900,14550,2.9693877551020407,6.647260288763788,0.05526264538673207,145.32244897959185
5,20,300,1.0,8,49,1,0.02040816326530612,4900,14550,2.9693877551020407,7.5267414738499445,0.05552926554464342,165.01224489795916
5,20,300,1.5,8,49,1,0.02040816326530612,4900,14550,2.9693877551020407,7.5267414738499445,0.05552926554464342,165.01224489795916
5,20,300,2.0,8,49,1,0.02040816326530612,4900,14550,2.9693877551020407,7.5267414738499445,0.05552926554464342,165.01224489795916
